Location	X	Y
MCC1	1267.07876370887	202
MCC2	1544.48654037886	201
MCC3	1817.39581256231	202
MCC4	2088.80558325025	204
MCC5	2373.71086739781	199
MCC6	2664.61415752742	205
MCC7	1247.5852442672	472
MCC8	1530.99102691924	472
MCC9	1812.89730807577	468
MCC10	2087.30608175474	480
MCC11	2369.21236291127	489
MCC12	2673.6111665005	478
MCC13	1246.08574277168	745
MCC14	1520.49451645065	739
MCC15	1811.39780658026	748
MCC16	2096.30309072782	747
MCC17	2381.20837487537	747
MCC18	2655.61714855434	741
MCC19	1253.58325024925	1016
MCC20	1520.49451645065	1019
MCC21	1752.91724825523	1018
MCC22	2094.8035892323	1021
MCC23	2375.21036889332	1030
MCC24	2646.62013958126	1021
