Location	X	Y
MCC1	1283.57328015952	207
MCC2	1547.48554336989	202
MCC3	1827.89232303091	201
MCC4	2082.8075772682	204
MCC5	2358.71585244267	199
MCC6	2630.12562313061	196
MCC7	1271.57726819541	472
MCC8	1547.48554336989	469
MCC9	1815.8963110668	465
MCC10	2084.30707876371	468
MCC11	2348.21934197408	465
MCC12	2618.1296111665	474
MCC13	1268.57826520439	733
MCC14	1536.9890329013	732
MCC15	1820.39481555334	732
MCC16	2072.3110667996	738
MCC17	2352.71784646062	727
MCC18	2619.62911266201	729
MCC19	1268.57826520439	990
MCC20	1536.9890329013	991
MCC21	1752.91724825523	999
MCC22	2076.80957128614	994
MCC23	2348.21934197408	1000
MCC24	2627.12662013958	1004
