Wavelength	Red1	Green1	Blue1	Red2	Green2	Blue2	SS	Ap
400	2926.21	1289.47	8605.40	2481.29	1127.33	7432.50	0.5	1.8
400	85.26	46.54	46.13	88.21	49.05	37.19	0.5	1.8
410	5573.56	4387.28	16384.00	4874.04	3897.83	16384.00	0.5	1.8
410	86.34	46.17	49.35	101.04	59.96	38.99	0.5	1.8
420	2974.91	3521.21	16384.00	2695.14	3300.47	16384.00	0.33333	1.8
420	86.72	40.04	45.08	81.06	39.40	34.90	0.33333	1.8
430	1460.49	2732.07	16384.00	1346.14	2444.48	16384.00	0.16667	1.8
430	68.74	24.41	29.19	63.32	26.07	28.03	0.16667	1.8
440	741.31	2077.91	16384.00	761.95	2131.95	16384.00	0.07692	1.8
440	57.00	22.84	27.28	77.00	27.82	34.12	0.07692	1.8
450	488.72	2043.09	15752.02	474.62	1914.79	14680.00	0.05	1.8
450	69.21	24.59	28.98	64.06	22.66	28.90	0.05	1.8
460	451.28	2601.40	14472.90	435.66	2501.42	13761.97	0.03333	1.8
460	66.98	23.42	25.98	63.06	23.33	26.07	0.03333	1.8
470	514.21	3405.43	11928.07	478.90	3074.17	10789.93	0.025	1.8
470	71.19	23.87	29.09	62.73	23.54	27.51	0.025	1.8
480	565.24	4528.85	10083.98	547.05	4563.92	10172.55	0.02	1.8
480	67.63	25.59	32.59	55.81	23.18	23.22	0.02	1.8
490	541.32	5089.36	7900.85	502.57	4900.13	7572.69	0.02	1.8
490	75.77	25.10	32.07	66.09	24.82	27.26	0.02	1.8
500	531.71	5364.10	4321.39	556.67	5380.85	4227.83	0.01667	1.8
500	61.85	23.58	26.00	71.64	25.52	30.08	0.01667	1.8
510	569.95	4856.08	1783.87	519.96	4490.36	1603.33	0.008	1.8
510	69.51	24.99	30.94	62.59	23.11	27.42	0.008	1.8
520	923.06	5124.64	703.31	886.19	4961.71	658.06	0.00625	1.8
520	58.02	21.97	28.36	65.57	24.90	27.47	0.00625	1.8
530	1207.70	5268.36	261.48	1120.26	4951.49	234.56	0.005	1.8
530	64.59	23.35	29.43	65.08	25.73	27.19	0.005	1.8
540	751.27	4519.64	125.33	747.37	4591.38	119.56	0.004	1.8
540	62.52	22.69	29.49	61.76	25.29	28.21	0.004	1.8
550	394.51	4375.31	66.93	369.35	4192.90	63.17	0.004	1.8
550	62.19	23.71	25.30	70.27	25.92	31.31	0.004	1.8
560	411.16	4133.06	45.15	418.83	4216.19	44.01	0.005	1.8
560	66.64	22.76	28.72	58.89	22.45	26.38	0.005	1.8
570	1412.29	4157.43	44.13	1376.11	4002.02	34.82	0.005	1.8
570	63.73	23.24	25.87	60.56	23.15	33.18	0.005	1.8
580	8300.31	4201.43	41.67	8525.04	4175.46	42.52	0.00625	1.8
580	60.66	24.28	27.64	70.61	24.32	28.37	0.00625	1.8
590	12557.78	2235.15	39.68	12173.81	2145.33	35.11	0.005	1.8
590	62.17	20.84	24.24	60.95	22.60	27.13	0.005	1.8
600	13267.38	1202.72	37.08	12811.44	1122.76	34.03	0.005	1.8
600	56.14	22.82	27.69	63.80	25.71	29.89	0.005	1.8
610	13673.75	530.43	38.27	13208.94	488.95	33.83	0.00625	1.8
610	63.90	22.46	29.72	67.89	23.01	29.41	0.00625	1.8
620	14663.10	387.55	60.33	14373.34	383.72	60.52	0.008	1.8
620	60.34	24.64	30.23	70.73	24.45	28.75	0.008	1.8
630	13466.79	162.90	35.28	12844.24	157.60	33.06	0.01	1.8
630	58.22	21.77	25.24	60.28	22.53	26.73	0.01	1.8
640	16307.62	169.28	42.04	16253.89	170.88	40.96	0.01667	1.8
640	67.29	23.65	29.27	61.28	21.48	26.96	0.01667	1.8
650	13027.50	216.64	46.52	13221.87	209.86	48.48	0.025	1.8
650	61.41	22.79	26.57	61.28	25.00	26.04	0.025	1.8
660	14028.34	124.67	54.62	13586.14	126.15	52.08	0.03333	1.8
660	73.13	25.39	30.50	64.79	22.61	26.58	0.03333	1.8
670	13523.69	159.89	51.97	12989.43	158.14	49.64	0.05	1.8
670	63.65	21.68	27.45	74.53	28.52	32.12	0.05	1.8
680	15045.76	317.13	61.45	14624.84	313.48	56.76	0.1	1.8
680	60.41	22.72	24.88	72.72	28.05	28.24	0.1	1.8
690	15297.48	543.65	63.74	14418.60	527.66	68.20	0.2	1.8
690	65.74	26.19	28.30	73.62	36.26	31.81	0.2	1.8
700	12488.03	621.62	58.70	11007.02	588.08	71.13	0.5	1.8
700	67.18	27.61	29.52	84.35	45.90	38.00	0.5	1.8
